dun_id,kod_dm,nama_dm
1,981601,WIRA DAMAI
1,981602,TAMAN JASA
1,981603,SUNGAI TUA
1,981604,KAMPUNG NAKHODA
1,981605,KAMPUNG LAKSAMANA
1,981606,SELAYANG BAHARU EMPAT
1,981607,SELAYANG BAHARU LIMA
1,981608,TAMAN SELAYANG
1,981609,TAMAN BATU CAVES
1,981610,PEKAN BATU CAVES LAMA
1,981611,BATU CAVES
1,981612,BATU 8 SUNGAI TUA
2,981701,PINGGIRAN BATU CAVES
2,981702,SRI GOMBAK 9
2,981703,TAMAN SELASEH
2,981704,TAMAN GREENWOOD
2,981705,SIMPANG TIGA
2,981706,BATU 8 GOMBAK
2,981707,GOMBAK SELATAN
2,981708,GOMBAK SETIA
2,981709,SRI GOMBAK 1
2,981710,SRI GOMBAK 2-7
2,981711,TAMAN GOMBAK
2,981712,BATU 9 GOMBAK
2,981713,TAMAN KAMARIAH
2,981714,SRI GOMBAK 10
2,981715,SRI GOMBAK 8
3,981801,BANDAR MELAWATI
3,981802,KELANG GATE
3,981803,TAMAN MELAWATI
3,981804,KEMENSAH
3,981805,HULU KELANG
3,981806,TAMAN PERMATA
3,981807,KERAMAT TENGAH AU 4
3,981808,AU3 RUMAH TERES
3,981809,SRI KERAMAT AU 2A
3,981810,KERAMAT AU 1
3,981811,KERAMAT PANGSA
3,981812,KUALA AMPANG
3,981813,MELAWATI JALAN F & H
3,981814,LEMBAH KERAMAT AU 5C
3,981815,DESA KERAMAT AU 2B & AU 2C
3,981816,LEMBAH KERAMAT AU 5D
3,981817,KERAMAT AU 1B
3,981818,UKAY PERDANA
3,981819,AU3 RUMAH PANGSA
3,981820,MELAWATI JALAN G.E.C
