dm_id,kod_loc,nama_loc
1,981601001,KG SRI WIRA DAMAI
1,981601002,SRI TEMENGGUNG
1,981601003,KG BAHTERA
1,981601004,KG SEPAKAT JAYA
1,981601005,"PANGSAPURI BERINGIN, TMN GOMBAK PERMAI"
1,981601006,TMN GOMBAK PERMAI
1,981601007,BLK 1 - 49 KG. MELAYU WIRA DAMAI
1,981601008,P/PURI CEMPAKA
1,981601009,P/PURI KENANGA
1,981601010,BLOK A - Z KG. MELAYU WIRA DAMAI
2,981602001,JLN JASA 1 - 26 TMN JASA
2,981602002,JLN LRG JU - TMN JASA UTAMA
2,981602003,KRTS JBA
2,981602005,JLN JASA 1
2,981602006,JLN JASA 2
2,981602008,JLN JASA 4
2,981602009,JLN JASA 5
2,981602010,JLN JASA 6
2,981602011,JLN JASA 8
2,981602012,JLN JASA 12
2,981602013,JLN JASA 14
2,981602014,JLN JASA 16
2,981602017,JLN JASA 22
2,981602018,JLN JASA 24
2,981602019,JLN JASA 25
2,981602021,JLN JASA UTAMA
2,981602022,JLN JU 2
2,981602023,JLN JU 4
2,981602024,JLN JU 6
2,981602025,JLN JU 8
2,981602026,JLN JU 9
2,981602027,JLN JU 10
2,981602028,JLN JU 12
2,981602031,LRG JU 5/1
2,981602032,JLN JU 5
2,981602033,JLN JU 5/3
2,981602034,JLN JU 5/5
2,981602035,JLN JU 7
2,981602036,JLN JU 14
2,981602038,JLN JU 1
2,981602039,TMN JASA PERWIRA
3,981603001,JLN GERLING
3,981603002,JLN SG TUA
3,981603003,KG BAHRU SG TUA
3,981603004,JLN ANGGERIK
3,981603005,JLN KENANGA
3,981603006,JLN MELATI
3,981603007,JLN KEKWA
3,981603008,JLN BUNGA TANJUNG
3,981603009,JLN DAHLIA
3,981603010,JLN TERATAI
3,981603011,BATU 10 SG. TUA
3,981603012,KG.ORANG ASLI ULU BATU
3,981603801,PEMILIH TAK HADIR
4,981604001,KG NAKHODA
4,981604002,JLN NAKHODA KANAN
4,981604003,JLN NAKHODA TENGAH
4,981604004,JLN NAKHODA KANAN 1
4,981604005,JLN NAKHODA KANAN 2
4,981604006,JLN NAKHODA KIRI
4,981604007,JLN NAKHODA KIRI 1
4,981604008,JLN NAKHODA KIRI 2
4,981604009,JLN NAKHODA KIRI 3
4,981604010,JLN NAKHODA DALAM
4,981604011,LRG NAKHODA 14
4,981604012,JLN NAKHODA B/4
4,981604801,PEMILIH TAK HADIR
5,981605001,KG LAKSAMANA
5,981605002,JLN LAKSAMANA  1 - 10
5,981605003,BLOK A - E P/PURI LAKSAMANA
5,981605004,"TMN PUTRI L`MANA/BLK DELIMA,CAHAYA,KAYU,SURIA,BAYU"
5,981605005,APT PUTRA LAKSAMANA
5,981605006,APT SRI ASTANA
5,981605007,TMN LAKSAMANA PERMAI
5,981605008,BLOK SUTERA
5,981605009,BLOK AMAN
5,981605010,BLOK BALDU APT PUTRA
5,981605011,KG SG KERTAS
5,981605012,JLN LAKSAMANA
5,981605013,JLN LAKSAMANA 1
5,981605014,JLN LAKSAMANA 1/1
5,981605016,JLN LAKSAMANA 1/3
5,981605017,JLN LAKSAMANA 1/4
5,981605018,JLN LAKSAMANA 2
5,981605019,JLN LAKSAMANA 3
